Net,Sta,Lat,Lon,Elev,Start,End
IV,T0104,42.3599 N,13.3382 E,754,2009,
IV,T0105,42.3110 N,13.4629 E,685,2009,2009
IV,T0106,42.3069 N,13.3837 E,1260,2009,2011
IV,T0107,42.4726 N,13.2475 E,1145,2009,2011
IV,T0108,42.3354 N,13.3765 E,1013,2009,2009
IV,T0109,42.3600 N,13.3382 E,754,2009,2009
IV,T0110,42.2294 N,13.7763 E,915,2014,
IV,T0201,41.7780 N,13.5745 E,570,2009,2009
IV,T0202,41.7021 N,13.5442 E,355,2009,2010
IV,T0203,41.6187 N,13.7213 E,559,2009,2010
IV,T0204,41.8666 N,13.7809 E,1371,2009,2010
IV,T0205,41.7954 N,13.6045 E,690,2009,2010
IV,T0401,43.0621 N,13.5957 E,343,2010,2010
IV,T0402,43.2213 N,13.4064 E,212,2010,2010
IV,T0501,43.9472 N,12.0102 E,667,2011,2011
IV,T0502,43.9006 N,12.1371 E,467,2011,2011
IV,T0503,43.7399 N,12.1008 E,865,2011,2011
IV,T0701,39.9862 N,16.1161 E,882,2011,2016
IV,T0702,39.7209 N,16.0835 E,883,2012,2016
IV,T0711,39.9357 N,16.0618 E,751,2011,2012
IV,T0712,39.8205 N,15.8519 E,248,2011,2012
IV,T0715,39.8384 N,16.0683 E,1044,2011,2012
IV,T0716,39.9487 N,16.0224 E,560,2012,2012
IV,T0721,39.9369 N,15.9769 E,535,2012,2015
IV,T0724,39.8488 N,15.8765 E,357,2012,2013
IV,T0800,44.8486 N,11.2479 E,9,2012,2012
IV,T0802,44.8750 N,11.1816 E,9,2012,2012
IV,T0803,44.7668 N,11.3508 E,10,2012,2012
IV,T0805,44.9187 N,11.3226 E,5,2012,2012
IV,T0811,44.7838 N,11.2265 E,10,2012,2012
IV,T0812,44.9547 N,11.1810 E,7,2012,2012
IV,T0813,44.8778 N,11.1992 E,1,2012,2013
IV,T0814,44.7933 N,10.9692 E,16,2012,2012
IV,T0815,44.8731 N,11.7198 E,2,2012,2012
IV,T0816,44.7207 N,11.5976 E,1,2012,2012
IV,T0817,44.9916 N,11.4559 E,0,2012,2012
IV,T0818,44.9348 N,11.0304 E,5,2012,2012
IV,T0819,44.8873 N,10.8987 E,19,2012,2013
IV,T0820,44.7912 N,11.5732 E,8,2012,2012
IV,T0821,44.9035 N,11.5405 E,3,2012,2012
IV,T0822,44.8328 N,11.3455 E,7,2012,2012
IV,T0823,44.6862 N,11.2771 E,14,2012,2012
IV,T0824,44.7594 N,10.9276 E,72,2012,2012
IV,T0825,44.9730 N,10.8469 E,7,2012,2012
IV,T0826,44.8394 N,10.8113 E,13,2012,2012
IV,T0827,44.9377 N,10.9319 E,11,2012,2012
IV,T0828,44.8308 N,10.9143 E,13,2012,2012
IV,T0911,44.1117 N,10.0738 E,520,2013,2013
IV,T0912,44.1685 N,10.2095 E,687,2013,2013
IV,T1011,41.3596 N,14.4175 E,1152,2013,2014
IV,T1012,41.2623 N,14.4965 E,599,2013,2014
IV,T1101,41.4746 N,14.5360 E,510,2017,2017
IV,T1201,42.6573 N,13.2508 E,934,2016,2017
IV,T1202,42.7035 N,13.2249 E,1251,2016,2017
